check_category,check_item,status,issue_count,notes
File integrity,Original preserved unchanged,Not Started,,
File integrity,Working copy created,Not Started,,
Structure,Expected delimiter confirmed,Not Started,,
Structure,Headers present and consistent,Not Started,,
Structure,Row width consistent,Not Started,,
Structure,Unexpected extra fields checked,Not Started,,
Structure,Shifted or malformed rows checked,Not Started,,
Types,Column data types reviewed,Not Started,,
Duplicates,Duplicate rule defined,Not Started,,
Duplicates,Exact duplicates checked,Not Started,,
Duplicates,Suspected duplicates reviewed,Not Started,,
Missing values,Blank/null counts reviewed,Not Started,,
Missing values,Required-field gaps identified,Not Started,,
Formatting,Leading/trailing whitespace checked,Not Started,,
Formatting,Date formats checked,Not Started,,
Formatting,Numeric/currency formats checked,Not Started,,
Formatting,Boolean values checked,Not Started,,
Formatting,Identifier formats checked,Not Started,,
Formatting,Casing consistency checked,Not Started,,
Validation,Original row count recorded,Not Started,,
Validation,Original column count recorded,Not Started,,
Validation,Client-defined constraints recorded,Not Started,,
Exceptions,Ambiguous cases flagged,Not Started,,
Exceptions,Unsupported assumptions avoided,Not Started,,
