phase,category,check_item,status,issue_count,notes
Setup,Source preservation,Original source file preserved unchanged,Not Started,,
Setup,Source preservation,Working copy created before edits,Not Started,,
Setup,Scope,Cleanup goal recorded,Not Started,,
Setup,Scope,Required fields identified,Not Started,,
Setup,Scope,Duplicate rule defined before removal,Not Started,,
Pre-clean,File structure,Expected delimiter or workbook structure confirmed,Not Started,,
Pre-clean,File structure,Headers present and consistent,Not Started,,
Pre-clean,File structure,Row width or column alignment checked,Not Started,,
Pre-clean,File structure,Malformed or shifted rows checked,Not Started,,
Pre-clean,File structure,Unexpected extra fields checked,Not Started,,
Pre-clean,Data types,Column data types reviewed,Not Started,,
Pre-clean,Duplicates,Exact duplicates checked,Not Started,,
Pre-clean,Duplicates,Suspected duplicates reviewed under agreed rule,Not Started,,
Pre-clean,Missing values,Blank and null counts reviewed,Not Started,,
Pre-clean,Missing values,Required-field gaps identified,Not Started,,
Pre-clean,Formatting,Leading and trailing whitespace checked,Not Started,,
Pre-clean,Formatting,Date formats checked,Not Started,,
Pre-clean,Formatting,Numeric and currency formats checked,Not Started,,
Pre-clean,Formatting,Boolean values checked,Not Started,,
Pre-clean,Formatting,Identifier formats checked,Not Started,,
Pre-clean,Formatting,Casing consistency checked,Not Started,,
Pre-clean,Baseline,Original row count recorded,Not Started,,
Pre-clean,Baseline,Original column count recorded,Not Started,,
Post-clean,Validation,Output row count reconciled to documented removals,Not Started,,
Post-clean,Validation,Output column count and expected headers verified,Not Started,,
Post-clean,Validation,Key uniqueness rechecked,Not Started,,
Post-clean,Validation,Required-field null count rechecked,Not Started,,
Post-clean,Validation,Formatting rules rechecked,Not Started,,
Post-clean,Exceptions,Ambiguous cases documented instead of guessed,Not Started,,
Post-clean,Exceptions,Material changes and unresolved exceptions documented,Not Started,,
Post-clean,Acceptance,Output validated against agreed project checks,Not Started,,
